id,name,assoc_names,original_langauge,authors,genres,tags,start_year,licensed,original_publisher,english_publisher,complete_original,chapters_original_current,complete_translated,chapter_latest_translated,release_freq,activity_week_rank,activity_month_rank,activity_all_time_rank,on_reading_lists,reading_list_month_rank,reading_list_all_time_rank,rating,rating_votes,related_series_ids,recommended_series_ids,recommendation_list_ids
29997,Forced to Become The CEO,['被迫出任CEO[娱乐圈]'],chinese,['盛郸'],"['drama', 'romance', 'shoujo ai', 'yuri']","['acting', 'beautiful female lead', 'body swap', 'celebrities', 'cold love interests', 'contracts', 'female protagonist', 'love interest falls in love first', 'marriage of convenience', 'modern day', 'wealthy characters', 'younger brothers']",2019,,jjwxc,,True,76 chapters,False,c2,3.5,1831,1600,6173,115,4949,6111,3.7,9,,['9280'],
29696,"Forever and Always, My Childhood Friend is the Cutest Girl in the World","['Sekaiichi Kawaii Ore no Osananajimi ga, Kyou mo Kawaii', '世界一かわいい俺の幼馴染が、今日も可愛い']",japanese,"['aoki fuyu', '青季 ふゆ']","['romance', 'school life']","['childhood friends', 'comedic undertone', 'male protagonist', 'unrequited love']",2020,False,kakuyomu,,True,54 chapters,False,c5,2.6,890,959,5413,182,2005,5651,3.3,7,,,
27808,"Fortunately, I Met You",['幸好遇見你'],chinese,"['sunny', '桑妮']","['comedy', 'josei', 'romance']","['female protagonist', 'modern day']",2018,True,cmread.com / migu,wuxiaworld,True,256 chapters,False,c188,0.5,508,568,2563,713,482,3592,3.8,33,,,"[8137, 4149, 3124, 2322]"
28303,Game of Divine Thrones,['신좌 의 게임'],korean,"['jang myeongsu', '장명수']","['action', 'adventure', 'fantasy', 'harem', 'supernatural']","['calm protagonist', 'cold protagonist', 'confident protagonist', 'demi-humans', 'demon lord', 'demons', 'determined protagonist', 'dungeons', 'fantasy creatures', 'fantasy world', 'game elements', 'goddesses', 'gods', 'hard-working protagonist', 'level system', 'loyal subordinates', 'male protagonist', 'monster tamer', 'monsters', 'necromancer', 'overpowered protagonist', 'previous life talent', 'protagonist strong from the start', 'race change', 'ruthless protagonist', 'second chance', 'sword and magic', 'time travel', 'transported to another world', 'vampires', 'wars', 'weak to strong']",,True,breathe,wuxiaworld,False,275 chapters,False,v3c59,0.9,70,92,1534,1090,78,2902,3.4,51,,"['5764', '4471', '12316', '12687', '18721', '12070']","[8884, 7312, 2375, 482]"
27810,Genius Detective,['追凶神探'],chinese,"['xin bai', '辛白']","['action', 'mystery']","['appearance changes', 'beautiful female lead', 'calm protagonist', 'clever protagonist', 'crime', 'detectives', 'genius protagonist', 'male protagonist', 'modern day', 'murders', 'thriller', 'underestimated protagonist']",,True,qq reading,wuxiaworld,True,984 chapters,False,c188,0.5,437,571,2246,608,456,3875,3.8,42,,"['1847', '24941', '28863']",
25853,Global University Entrance Examination,"['Quánqiú gāokǎo', '全球高考']",chinese,['木苏里'],"['action', 'comedy', 'horror', 'mystery', 'shounen ai', 'yaoi']","['amnesia', 'artificial intelligence', 'calm protagonist', 'clever protagonist', 'cold protagonist', 'death', 'destiny', 'enemies become lovers', 'lovers reunited', 'past plays a big role', 'protagonist strong from the start', 'strong love interests', 'survival', 'survival game', 'system administrator']",2019,,jjwxc,,True,166 chapters,False,c84,0.9,206,266,1744,1585,213,2295,4.4,81,,"['16677', '17543', '28041', '19106', '15593', '27717']","[9367, 9337, 9333, 9288, 9221]"
4332,Heaven’s Devourer,"['Swallowing the Heavens', 'Tūn Tiān Jì', '吞天记']",chinese,['风青阳'],"['action', 'adventure', 'fantasy', 'harem', 'martial arts', 'tragedy', 'xuanhuan']","['betrayal', 'body tempering', 'buddhism', 'cultivation', 'daoism', 'demons', 'fast cultivation', 'genius protagonist', 'handsome male lead', 'male protagonist', 'revenge', 'romantic subplot', 'underestimated protagonist', 'unique cultivation technique', 'unique weapon user', 'weak to strong']",2015,True,17k,wuxiaworld,True,1828 chapters,False,c737,0.5,195,176,582,3143,148,1161,3.8,192,,,"[8476, 5296, 4077]"
28835,Here Comes the Immortal Swordsman,['剑仙在此'],chinese,"['luan shi kuang dao', '乱世狂刀']",['fantasy'],"['cultivation', 'fantasy world', 'lazy protagonist', 'martial spirits', 'reincarnation']",2019,True,zongheng,tapread,False,336 chapters,False,c44,1.0,1908,2014,5126,140,2868,5934,4.0,14,,,
30216,Homeless Tensei: Isekai De Jiyuu Sugiru Majutsu Jisoku Seikatsu,['ホームレス転生 ~異世界で自由すぎる自給自足生活~'],japanese,['徳川レモン'],"['action', 'adventure', 'fantasy', 'romance', 'seinen']","['adventurers', 'age regression', 'dungeons', 'game elements', 'male protagonist', 'reincarnated in another world']",2016,,,,True,191 chapters,False,prologue,2000.0,2000,2000,2000,0,6618,6614,3.0,1,,,
28375,How Many Tomorrows There Are,['明日何其多(穿書)'],chinese,['吃肉能瘦'],"['action', 'adult', 'fantasy', 'mature', 'sci-fi', 'yaoi']","['animal characteristics', 'cautious protagonist', 'clever protagonist', 'dark', 'depictions of cruelty', 'game elements', 'male protagonist', 'post-apocalyptic', 'protagonist strong from the start', 'psychopaths', 'sadistic characters', 'seme protagonist', 's*x slaves', 'shapeshifters', 'transmigration', 'twisted personality', 'zombies']",2019,,jjwxc,,True,90 chapters,False,c73,1.1,405,590,2776,890,555,3247,4.1,51,,"['4859', '25970']","[9357, 9288, 8435, 8084, 7733]"
24499,How to Survive As a Villain,"['HSAV', 'TBNTB', 'To Be or Not To Be', '穿成囚禁男主的反派要如何活命', '穿越成反派要如何活命']",chinese,"['yi yi yi yi', '伊依以翼']","['comedy', 'drama', 'historical', 'romance', 'yaoi']","['adapted to manhua', 'black belly', 'comedic undertone', 'doting love interests', 'enemies become lovers', 'first love', 'love interest falls in love first', 'male protagonist', 'straight uke', 'strong love interests', 'transmigration', 'transported to another world']",2018,,jjwxc,,True,210 chapters,False,c36,0.7,80,78,2016,2752,209,1396,4.6,65,,"['11330', '19102', '13034', '14754', '9274', '22707']","[9357, 9288, 9098, 8808, 8533]"
30208,Hypnotising a Female Knight and Playing With Her,['女騎士に催眠術かけて弄ぶ'],japanese,"['kamishimo sayuu', '裃左右']",['adult'],"['evil protagonist', 'fat protagonist', 'hypnotism', 'male protagonist', 'mob protagonist', 'oneshot', 'r-18', 'r*pe', 'sexual abuse', 'ugly protagonist', 'weak protagonist']",2018,,syosetu,,True,1 chapters,,oneshot,2000.0,2000,2000,2000,0,6618,6614,3.0,1,,,
29846,I Became Peerless After I Threw My Whole Paycheck at a Real-Life Gacha,"['Genjitsu Sekai ni Arawareta Gacha ni Kyuuryou Zenbu Tsugikondara Hiku hodo Musou ni', '現実世界に現れたガチャに給料全部つぎ込んだら引くほど無双に']",japanese,['arata'],"['action', 'adventure', 'fantasy', 'mystery']","['dragons', 'dungeons', 'fantasy creatures', 'game elements', 'magic', 'male protagonist', 'r-15', 'world travel']",2019,,syosetu,,False,115 chapters,False,c11,0.8,807,260,4245,293,1032,5012,3.9,17,,,
29901,I Became the Villain’s Pendant,['我成了反派的挂件'],chinese,"['da cha wei wei', '大茶娓娓']","['adventure', 'comedy', 'drama', 'fantasy', 'historical', 'martial arts', 'romance', 'xianxia']","['ancient times', 'cultivation', 'cute protagonist', 'cute story', 'demon lord', 'demons', 'female protagonist', 'handsome male lead', 'older love interests', 'second chance', 'system administrator', 'transported to another world', 'weak to strong', 'world hopping', 'world travel']",2020,,jjwxc,,False,54 chapters,False,c5,1.6,1216,527,4986,365,2010,4690,4.2,14,,['29934'],[263]
30183,I Dumped the Male Lead Before the Apocalypse,['末世前我踹了男主'],chinese,"['bu mian zhuang', '不眠妆']","['action', 'adventure', 'comedy', 'romance', 'shoujo']","['alternate world', 'apocalypse', 'beautiful female lead', 'caring protagonist', 'couple growth', 'devoted love interests', 'early romance', 'female protagonist', 'handsome male lead', 'modern day', 'power couple', 'special abilities', 'system administrator', 'transmigration', 'weak to strong', 'zombies']",2019,,jjwxc,,False,106 chapters,False,c1 part2,0.5,2000,1063,5832,131,5580,5997,3.8,8,,"['19178', '10025', '13439', '22455', '21676', '20630']",[117]
24019,I’m Pregnant with the Villain’s Child,"['IPVC', 'Ta Mang Thai Nhân Vật Phản Diện Đứa Bé', '我怀了反派的孩子']",chinese,['公子闻筝'],"['drama', 'josei', 'psychological', 'romance', 'slice of life']","['abusive characters', 'acting', 'arranged marriage', 'beautiful female lead', 'businessmen', 'celebrities', 'childcare', 'cold love interests', 'cruel characters', 'discrimination', 'drugs', 'female protagonist', 'forced into a relationship', 'forced marriage', 'handsome male lead', 'love interest falls in love first', 'male yandere', 'manipulative characters', 'marriage', 'misunderstandings', 'modern day', 'possessive characters', 'pregnancy', 'second chance', 'stockholm syndrome', 'transmigration', 'trap', 'twins', 'unlucky protagonist', 'unrequited love']",2018,,jjwxc,,True,105 chapters,False,c131,2.3,25,11,297,6212,14,414,4.0,224,['24402'],"['23807', '28980', '27280', '26440', '26527', '23915']","[9439, 9409, 9213, 9202, 9132]"
30005,Infinity Moe,['无限之爱萌'],chinese,['国际精神'],"['fantasy', 'harem']",[],,,qidian,,,,False,v1c7,0.9,2000,1805,6396,81,5372,6328,1.5,4,,,
9930,Into the World of Medicine,"['神医贵女:邪皇，勾勾缠 (New)', '穿越之医倾天下 (Old)']",chinese,"['xia ri fenmo', '夏日粉末']","['action', 'fantasy', 'josei', 'martial arts', 'romance', 'xuanhuan']","['beast companions', 'beautiful female lead', 'broken engagement', 'calm protagonist', 'clever protagonist', 'cultivation', 'doctors', 'doting love interests', 'fast cultivation', 'female protagonist', 'handsome male lead', 'love interest falls in love first', 'magical space', 'medical knowledge', 'pill concocting', 'slow romance', 'special abilities', 'strong love interests', 'transmigration', 'ugly to beautiful', 'underestimated protagonist', 'weak to strong']",,,hongxiu,,True,478,False,c156,2.8,875,932,384,4850,855,639,4.4,331,,"['6491', '13422', '5154', '17397', '7759', '15281']","[7824, 7778, 7612, 6719, 5881]"
7501,Irregular’s Rebellion,['イレギュラーズ・リベリオン'],japanese,"['ochi shizuku', '尾地 雫']","['action', 'fantasy', 'harem', 'romance']","['academy', 'beautiful female lead', 'demons', 'genius protagonist', 'male protagonist', 'protagonist strong from the start', 'sword and magic']",2015,False,softbank creative,,True,4 volumes,False,v1c1 part2,1.3,2000,1654,4523,916,3014,3198,4.0,35,,,
27663,Jin Wang Dotes on His Concubine,"['Wángfǔ Chǒng Qiè', '王府宠妾']",chinese,"['mask feast', '假面的盛宴']","['adult', 'drama', 'mature', 'romance', 'slice of life']","['ancient china', 'beautiful female lead', 'betrayal', 'early romance', 'female protagonist', 'handsome male lead', 'multiple pov', 'pregnancy', 'rebellion', 'reincarnation', 'resurrection', 'second chance', 'weak protagonist']",2019,,jjwxc,,True,227 chapters,False,c26,4.2,1584,579,2350,1019,1216,3016,4.2,62,,"['18279', '8696', '29028']","[8956, 8928, 7107, 6183, 6160]"
